AIRLINE,COUNTRY,INFORMATION
Saravia,  Russia, inactive (with supported aircraft)
SARO,  Mexico, inactive (with supported aircraft)
SARPA,  Colombia,  3 aircraft 
SAS Braathens,  Norway, inactive (with supported aircraft)Renamed / Merged to SAS Norge
SAS Connect,  Ireland,  25 aircraft 
SAS Ireland,  Ireland, inactive (with supported aircraft)Renamed / Merged to SAS Connect
SAS Link,  Sweden,  8 aircraft 
SAS Norge,  Norway, inactive (with supported aircraft)Renamed / Merged to SAS Scandinavian Airlines
SAS Norlink,  Norway, inactive (with supported aircraft)
SAS Scandinavian Airlines,  Sweden,  100 aircraft 
SAT Airlines,  Russia, inactive (with supported aircraft)Renamed / Merged to Aurora
SATA Air Acores,  Portugal,  7 aircraft 
SATA International,  Portugal, inactive (with supported aircraft)Renamed / Merged to Azores Airlines
SATENA,  Colombia,  13 aircraft 
Saudi Arabian Airlines,  Saudi Arabia,  153 aircraft 
Saudi Arabian Gvmt,  Saudi Arabia,  4 aircraft 
Saudi NAO,  Saudi Arabia, inactive (with supported aircraft)
Saudi Royal Flight,  Saudi Arabia,  9 aircraft 
Saudia,  Saudi Arabia, inactive (with supported aircraft)Renamed / Merged to Saudi Arabian Airlines
SaudiGulf Airlines,  Saudi Arabia, inactive (with supported aircraft)
Saurya Airlines,  Nepal, inactive (with supported aircraft)
SBA Airlines,  Venezuela, inactive (with supported aircraft)
Scan Con Airways,  Denmark, inactive (with supported aircraft)
Scanair,  Sweden, inactive (with supported aircraft)Renamed / Merged to Premiair
Scanblu Airlines,  Sweden, inactive (with supported aircraft)
Scanderbeg Air,  Albania, inactive (with supported aircraft)
SCAT Airlines,  Qazakhstan,  27 aircraft 
SCD Aviation,  Gabon, inactive (with supported aircraft)
Schreiner Airways,  Netherlands, inactive (with supported aircraft)
Schreiner Airways Cameroon,  Cameroon, inactive (with supported aircraft)
Scoot,  Singapore,  53 aircraft 
Scorpio Aviation,  Egypt, inactive (with supported aircraft)
ScotAirways,  United Kingdom, inactive (with supported aircraft)
SEAA - Servicos Executivos Aereos de Angola,  Angola,  1 aircraft 
Seaboard World,  USA, inactive (with supported aircraft)Renamed / Merged to Flying Tigers
Seaborne Airlines,  USA, inactive (with supported aircraft)
Seagle Air,  Slovakia, inactive (with supported aircraft)
Seair,  Philippines, inactive (with supported aircraft)Renamed / Merged to Tigerair Philippines
SEAir International,  Philippines,  1 aircraft 
SEARCA,  Colombia,  16 aircraft 
Securite Civile,  France,  7 aircraft 
Semeiavia,  Qazakhstan, inactive (with supported aircraft)Renamed / Merged to SA Regional Airlines
Sempati,  Indonesia, inactive (with supported aircraft)
Senator Aviation Charter,  Germany, inactive (with supported aircraft)
Senegal Airlines,  Senegal, inactive (with supported aircraft)
Sepehran Airlines,  Iran,  6 aircraft 
Serene Air,  Pakistan,  7 aircraft 
Serve Air,"  Congo, Democratic Republic of",  4 aircraft 
Services Air,"  Congo, Democratic Republic of", inactive (with supported aircraft)
Servicios Aereos de Los Andes,  Peru, inactive (with supported aircraft)
Servicios Aerolineas Mexicanas,  Mexico, inactive (with supported aircraft)
ServisAir,  Angola, inactive (with supported aircraft)
Servivensa,  Venezuela, inactive (with supported aircraft)
Set Jet,  USA,  5 aircraft 
SETE Linhas Aereas,  Brazil,  2 aircraft 
SETRA-Banco de Mexico,  Mexico,  2 aircraft 
Seulawah,  Indonesia, inactive (with supported aircraft)
Seven Air,  Spain, inactive (with supported aircraft)
Sevenair,  Tunisia, inactive (with supported aircraft)Renamed / Merged to Tunisair Express
Severstal,  Russia,  8 aircraft 
SF Airlines,  China,  83 aircraft 
Shabair,"  Congo, Democratic Republic of", inactive (with supported aircraft)Renamed / Merged to Congo Airlines
Shaheen Air,  Pakistan, inactive (with supported aircraft)
Shan Xi Airlines,  China,  1 aircraft 
Shandong Airlines,  China,  132 aircraft 
Shanghai Airlines,  China,  85 aircraft 
Shantou Airlines,  China, inactive (with supported aircraft)
Shenzhen Airlines,  China,  196 aircraft 
Shirak Avia,  Armenia,  2 aircraft 
Shorouk Air,  Egypt, inactive (with supported aircraft)
Shree Airlines,  Nepal,  4 aircraft 
Shuttle America,  USA, inactive (with supported aircraft)Renamed / Merged to Republic Airways
Siam Air,  Thailand, inactive (with supported aircraft)
Sichuan Airlines,  China,  189 aircraft 
Sideral Air Cargo,  Brazil,  12 aircraft 
Siem Reap Airways International,  Cambodia, inactive (with supported aircraft)
Sierra National Airlines,  Sierra Leone, inactive (with supported aircraft)
Sierra Pacific,  USA,  2 aircraft 
Sierra West Airlines,  USA,  1 aircraft 
SiFly,  Italy, inactive (with supported aircraft)
Sigma Airlines,  Qazakhstan, inactive (with supported aircraft)
Silk Road Cargo Business,  Uzbekistan, inactive (with supported aircraft)
Silk Route Airways,  Georgia, inactive (with supported aircraft)
Silk Way Airlines,  Azerbaijan, inactive (with supported aircraft)Renamed / Merged to Silk Way West Airlines
Silk Way Italia Airlines,  Italy, inactive (with supported aircraft)
Silk Way West Airlines,  Azerbaijan,  13 aircraft 
Silkair,  Singapore, inactive (with supported aircraft)Renamed / Merged to Singapore Airlines
Silkavia,  Uzbekistan,  3 aircraft 
Silver Air,  Djibouti, inactive (with supported aircraft)
Silver Airways,  USA,  13 aircraft 
Silver Arrows,  Luxembourg, inactive (with supported aircraft)
Silver Sky Airlines,  Argentina, inactive (with supported aircraft)
Silverjet,  United Kingdom, inactive (with supported aircraft)
Silverstone Air Services,  Kenya,  2 aircraft 
Singapore Air Force,  Singapore,  13 aircraft 
Singapore Airlines,  Singapore,  144 aircraft 
Sino Jet,  China,  3 aircraft 
Sirio Executive,  Italy, inactive (with supported aircraft)
Sirius Aero,  Russia, inactive (with supported aircraft)
SK Air,  Cambodia, inactive (with supported aircraft)Renamed / Merged to Kampuchea Airlines
Skaneflyg,  Sweden,  1 aircraft 
Skippers Aviation,  Australia,  12 aircraft 
Sky Air World,  Australia, inactive (with supported aircraft)
Sky Airline,  Chile,  28 aircraft 
Sky Airlines,  Turkey, inactive (with supported aircraft)
Sky Angkor Airlines,  Cambodia,  6 aircraft 
Sky Aviation Indonesia,  Indonesia, inactive (with supported aircraft)
Sky Bahamas,  Bahamas, inactive (with supported aircraft)
Sky Bosnia,  Bosnia-Hercegovina, inactive (with supported aircraft)
Sky Cana,  Dominican Republic,  3 aircraft 
Sky Capital Airlines,  Bangladesh,  2 aircraft 
Sky Express,  Russia, inactive (with supported aircraft)
Sky Express Greece,  Greece,  23 aircraft 
Sky Eyes,  Thailand, inactive (with supported aircraft)
Sky Gates Airlines,  Russia, inactive (with supported aircraft)
Sky Greenland,  Denmark, inactive (with supported aircraft)
Sky High,  Dominican Republic,  7 aircraft 
Sky KG Airlines,  Kyrgyzstan, inactive (with supported aircraft)
Sky King,  USA, inactive (with supported aircraft)Renamed / Merged to Songbird Airways
Sky Mali,  Mali,  2 aircraft 
Sky One,  Slovakia, inactive (with supported aircraft)
Sky One FZE,  United Arab Emirates, inactive (with supported aircraft)
Sky Pak Express,  United Kingdom, inactive (with supported aircraft)
Sky Prim Air,  Moldova, inactive (with supported aircraft)
Sky Regional Airlines,  Canada,  1 aircraft 
Sky Taxi,  Poland,  2 aircraft 
Sky Team,  Germany, inactive (with supported aircraft)
Sky Vision Airlines,  Egypt,  2 aircraft 
Sky Wings,  Greece, inactive (with supported aircraft)
Sky Work Airlines,  Switzerland, inactive (with supported aircraft)
SkyAir,  Bangladesh, inactive (with supported aircraft)
SkyAlps,  Italy,  5 aircraft 
SkyBird Airlines,  Egypt, inactive (with supported aircraft)
Skyblue Airways,  United Kingdom, inactive (with supported aircraft)
Skybus,  USA, inactive (with supported aircraft)
SkyEurope Airlines,  Slovakia, inactive (with supported aircraft)
SkyEurope Hungary,  Hungary, inactive (with supported aircraft)
SkyExpress,  Poland, inactive (with supported aircraft)Renamed / Merged to Sprintair
Skyforce Aviation,  Australia, inactive (with supported aircraft)Renamed / Merged to Pionair
Skygate International,  Eswatini, inactive (with supported aircraft)
SkyGreece Airlines,  Greece, inactive (with supported aircraft)
Skyjet,  Antigua Barbuda, inactive (with supported aircraft)
Skyjet (Belgium),  Belgium, inactive (with supported aircraft)
Skyjet Airlines,  Philippines,  2 aircraft 
Skyjet Brazil,  Brazil, inactive (with supported aircraft)
SkyJet Kyrgyzstan,  Kyrgyzstan, inactive (with supported aircraft)
Skyjet Uganda,  Uganda, inactive (with supported aircraft)
SkyLease Cargo,  USA,  2 aircraft 
Skyline,  India, inactive (with supported aircraft)
Skyline Express Airline,  Ukraine,  2 aircraft 
SkyLink Arabia,  United Arab Emirates, inactive (with supported aircraft)
Skymark Airlines,  Japan,  29 aircraft 
Skynet Airlines,  Ireland, inactive (with supported aircraft)
Skynet Asia Airways,  Japan, inactive (with supported aircraft)Renamed / Merged to Solaseed Air
Skypower Express Airways,  Nigeria, inactive (with supported aircraft)
SkyService,  Canada, inactive (with supported aircraft)
SkyService Business Aviation,  Canada,  1 aircraft 
Skyservice USA,  USA, inactive (with supported aircraft)
Skystar Airways,  Thailand, inactive (with supported aircraft)
Skystream Airlines,  Estonia,  1 aircraft 
Skytraders,  Australia,  3 aircraft 
Skytrans Regional,  Australia,  7 aircraft 
SkyUp Airlines,  Ukraine,  10 aircraft 
SkyUp Europe,  Malta,  1 aircraft 
Skyward Aviation,  Canada, inactive (with supported aircraft)
Skyward Express,  Kenya,  7 aircraft 
Skyways,  Argentina, inactive (with supported aircraft)
Skyways Airlines,  Sweden, inactive (with supported aircraft)
Skywest Airlines,  Australia, inactive (with supported aircraft)Renamed / Merged to Virgin Australia Regional Airlines
SkyWest Charter,  USA,  9 aircraft 
SkyWest USA,  USA,  479 aircraft 
Skywings Asia Airlines,  Cambodia, inactive (with supported aircraft)
Skywings International,  Macedonia, inactive (with supported aircraft)
Skywise,  South Africa, inactive (with supported aircraft)
Slok Air International,  Gambia, inactive (with supported aircraft)
Slovak Airlines,  Slovakia, inactive (with supported aircraft)
Slovak Government,  Slovakia,  3 aircraft 
Slovakian Airlines,  Slovakia, inactive (with supported aircraft)
Small Planet Airlines,  Lithuania, inactive (with supported aircraft)
Small Planet Airlines (Estonia),  Estonia, inactive (with supported aircraft)
Small Planet Airlines (Germany),  Germany, inactive (with supported aircraft)
Small Planet Airlines (Poland),  Poland, inactive (with supported aircraft)
Small Planet Airlines Cambodia,  Cambodia, inactive (with supported aircraft)
Smart Aviation,  Egypt, inactive (with supported aircraft)
Smart Jet,  Poland, inactive (with supported aircraft)
SmartAvia,  Russia,  13 aircraft 
SmartLynx,  Latvia,  18 aircraft 
SmartLynx Airlines Malta,  Malta,  29 aircraft 
SmartLynx Cabo Verde,  Cape Verde, inactive (with supported aircraft)
SmartLynx Estonia,  Estonia,  10 aircraft 
SmartWings,  Czech Republic,  44 aircraft 
Smartwings Hungary,  Hungary,  1 aircraft 
Smartwings Poland,  Poland,  1 aircraft 
Smartwings Slovakia,  Slovakia,  1 aircraft 
Smile Air,  Ghana, inactive (with supported aircraft)
SN Brussels Airlines,  Belgium, inactive (with supported aircraft)Renamed / Merged to Brussels Airlines
SNAS,  Saudi Arabia, inactive (with supported aircraft)
Snowflake,  Sweden, inactive (with supported aircraft)
Sobelair,  Belgium, inactive (with supported aircraft)
Sococi Airways,  Congo, inactive (with supported aircraft)
Soder Air,  Finland, inactive (with supported aircraft)
Sol Air,  Honduras, inactive (with supported aircraft)
Sol Airlines,  Dominican Republic, inactive (with supported aircraft)
Sol del Paraguay,  Paraguay, inactive (with supported aircraft)
Sol Lineas Aereas,  Argentina, inactive (with supported aircraft)Renamed / Merged to Flyest
Solar Air,  Thailand, inactive (with supported aircraft)
Solar Cargo,  Venezuela, inactive (with supported aircraft)
Solaris Airlines,  Russia, inactive (with supported aircraft)
Solaseed Air,  Japan,  14 aircraft 
Solenta Aviation,  South Africa,  10 aircraft 
Solenta Aviation Cote d Ivoire,  Ivory Coast,  1 aircraft 
Solenta Aviation Gabon,  Gabon,  2 aircraft 
Solenta Aviation Mozambique ,  Mozambique, inactive (with supported aircraft)
Solid Air,  Netherlands, inactive (with supported aircraft)
Solinair,  Slovenia,  2 aircraft 
Solitaire Air,  Jordan,  1 aircraft Renamed / Merged to FlyJordan
Solomon Airlines,  Solomon Islands,  2 aircraft 
Solyom Hungarian Airways,  Hungary, inactive (with supported aircraft)
Somali Airlines,  Somalia, inactive (with supported aircraft)
Somon Air,  Tajikistan,  8 aircraft 
SonAir,  Angola, inactive (with supported aircraft)
Song,  USA, inactive (with supported aircraft)Renamed / Merged to Delta Air Lines
Songbird Airways,  USA, inactive (with supported aircraft)
Sophia Airlines,  Ivory Coast, inactive (with supported aircraft)
Sosoliso,  Nigeria, inactive (with supported aircraft)
South African Airways,  South Africa,  6 aircraft 
South African Express Airways,  South Africa, inactive (with supported aircraft)
South African Gvmt,  South Africa,  1 aircraft 
South Airlines,  Ukraine, inactive (with supported aircraft)
South Airlines Armenia,  Armenia, inactive (with supported aircraft)
South Atlantic Airways,  Spain, inactive (with supported aircraft)
South East European Ariways,  United Kingdom, inactive (with supported aircraft)
South Korean Air Force,  South Korea,  7 aircraft 
South Pacific Airlines,  Hong-Kong, inactive (with supported aircraft)
South Supreme Airlines,  Sudan,  1 aircraft 
South Winds Cargo,  USA, inactive (with supported aircraft)
Southeast Airlines,  USA, inactive (with supported aircraft)
Southeast European Airways,  Greece, inactive (with supported aircraft)
Southeast Pacific Airways,  Chile, inactive (with supported aircraft)Renamed / Merged to National Airlines (Chile)
Southern Air,  USA, inactive (with supported aircraft)Renamed / Merged to Atlas Air
Southern Air Transport,  USA, inactive (with supported aircraft)
Southern Australia Airlines,  Australia, inactive (with supported aircraft)
Southern Winds,  Argentina, inactive (with supported aircraft)
Southwest Air Lines,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Transocean
Southwest Airlines,  USA,  811 aircraft 
Southwind,  Turkey,  11 aircraft 
Space World Airlines,  Nigeria, inactive (with supported aircraft)
Spanair,  Spain, inactive (with supported aircraft)
Spanish Air Force,  Spain,  4 aircraft 
Spantax,  Spain, inactive (with supported aircraft)
SpiceJet,  India,  38 aircraft 
Spirit Airlines,  USA,  199 aircraft 
Spirit of Africa,  Sudan, inactive (with supported aircraft)
Spirit of Amer,  USA, inactive (with supported aircraft)
Spirit of Manila Airlines,  Philippines, inactive (with supported aircraft)
Spring Airlines,  China,  121 aircraft 
Spring Airlines Japan,  Japan,  6 aircraft 
Sprintair,  Poland,  19 aircraft 
SR Jet,  China, inactive (with supported aircraft)
Srilankan Airlines,  Sri Lanka,  20 aircraft 
Sriwijaya Air,  Indonesia,  5 aircraft 
STAF Airlines,  Argentina, inactive (with supported aircraft)
Star Air,  Indonesia, inactive (with supported aircraft)
Star Air Cargo,  South Africa,  4 aircraft 
Star Air Freight,  Denmark, inactive (with supported aircraft)Renamed / Merged to Maersk Air Cargo
Star Air India,  India,  6 aircraft 
Star Air Jordan,  Jordan, inactive (with supported aircraft)Renamed / Merged to StarJet
Star Air Tours,  USA, inactive (with supported aircraft)
Star Airlines,  France, inactive (with supported aircraft)Renamed / Merged to XL Airways France
Star Airlines Macedonia,  Macedonia, inactive (with supported aircraft)
Star Airways,  Albania, inactive (with supported aircraft)
Star Aviation,  Algeria,  1 aircraft 
Star East Airlines,  Romania,  1 aircraft 
Star Equatorial Airlines,  Equatorial Guinea, inactive (with supported aircraft)
Star Europe,  France, inactive (with supported aircraft)Renamed / Merged to Star Airlines
Star Flyer,  Japan,  12 aircraft 
Star Peru,  Peru,  7 aircraft 
Star Up,  Peru, inactive (with supported aircraft)Renamed / Merged to Star Peru
Star XL,  Germany, inactive (with supported aircraft)Renamed / Merged to XL Airways Germany
Star1 Airlines,  Lithuania, inactive (with supported aircraft)
Starbow Airlines,  Ghana,  1 aircraft 
Starflight,  USA, inactive (with supported aircraft)
StarJet,  United Arab Emirates, inactive (with supported aircraft)
StarLine KZ,  Qazakhstan, inactive (with supported aircraft)
Starlink Aviation,  Canada, inactive (with supported aircraft)
Starlux Airlines,  Taiwan,  20 aircraft 
State of Kuwait,  Kuwait,  2 aircraft 
Stateswest,  USA, inactive (with supported aircraft)
Stellar Airways,  Congo, inactive (with supported aircraft)
Sterling Airlines,  Denmark, inactive (with supported aircraft)
Sterling Airways,  Denmark, inactive (with supported aircraft)
Sterling Airways USA,  USA,  2 aircraft 
Sterna Linhas Aereas,  Brazil, inactive (with supported aircraft)
Stobart Air,  Ireland, inactive (with supported aircraft)
STP Airways,  Sao Tome and Principes, inactive (with supported aircraft)
Strat Air,  USA, inactive (with supported aircraft)
Strategic Airlines,  Australia, inactive (with supported aircraft)Renamed / Merged to Air Australia
Strategic Airlines Luxembourg,  Luxembourg, inactive (with supported aircraft)
Styrian Airways,  Austria, inactive (with supported aircraft)
Su Airlines,  Gambia,  2 aircraft 
Suasa Airlines,  Malaysia, inactive (with supported aircraft)
Sud Airlines,  France, inactive (with supported aircraft)
Sudamericana de Aviacion,  Ecuador, inactive (with supported aircraft)
Sudan Airways,  Sudan,  1 aircraft 
Sukhoi Civil Aircraft,  Russia,  3 aircraft 
Sultan Air,  Turkey, inactive (with supported aircraft)
Sultan of Brunei,  Brunei Darussalam, inactive (with supported aircraft)
Sultanair,  Turkey, inactive (with supported aircraft)
Summit Air,  Canada,  15 aircraft 
Summit Airlines,  USA, inactive (with supported aircraft)
Sun Air,  South Africa, inactive (with supported aircraft)
Sun Air Egypt,  Egypt, inactive (with supported aircraft)
Sun Air Sudan,  Sudan,  1 aircraft 
Sun Country Airlines,  USA,  56 aircraft 
Sun d Or International Airlines,  Israel,  1 aircraft 
Sun Express,  Turkey,  66 aircraft 
Sun Express Deutschland,  Germany, inactive (with supported aircraft)
Sun Jet International,  USA, inactive (with supported aircraft)
Sun Land Airlines,  USA, inactive (with supported aircraft)
Sun West,  USA, inactive (with supported aircraft)
SunAdria Airlines,  Croatia, inactive (with supported aircraft)
Sunbird Airways,  USA, inactive (with supported aircraft)
Sunclass Airlines,  Denmark,  12 aircraft 
Suncoast,  USA, inactive (with supported aircraft)
Sundair,  Germany,  7 aircraft 
Sunday Airlines,  Qazakhstan,  3 aircraft 
Sunkar Air,  Qazakhstan, inactive (with supported aircraft)
Sunlight Express Airways,  Philippines,  2 aircraft 
Sunny Airways,  Thailand, inactive (with supported aircraft)
Sunrise Airways,  Haiti,  4 aircraft 
Sunrock,  Japan, inactive (with supported aircraft)
Sunstate Airlines,  Australia,  31 aircraft 
Sunways,  Turkey, inactive (with supported aircraft)
Sunways Airlines,  Sweden, inactive (with supported aircraft)
Sunwest Aviation,  Canada,  7 aircraft 
Sunwing Airlines,  Canada,  19 aircraft 
Sunworld International,  USA, inactive (with supported aircraft)
Supair,  Germany, inactive (with supported aircraft)
Suparna Airlines,  China,  13 aircraft 
Super Air Jet,  Indonesia,  54 aircraft 
Superior Int AS,  Canada, inactive (with supported aircraft)
Surinam Airways,  Surinam,  2 aircraft 
Surveillance Australia,  Australia,  8 aircraft 
Suvarnabhumi Airlines,  Thailand, inactive (with supported aircraft)
SW Business,  Azerbaijan, inactive (with supported aircraft)
Swazi Airways,  Eswatini, inactive (with supported aircraft)
Swazi Express Airways,  Eswatini, inactive (with supported aircraft)
Swaziland Airlink,  Eswatini, inactive (with supported aircraft)
Swe Fly,  Sweden, inactive (with supported aircraft)
Swedair,  Sweden, inactive (with supported aircraft)Renamed / Merged to SAS Scandinavian Airlines
Swedish Armed Forces,  Sweden,  3 aircraft 
SwedJet,  Sweden, inactive (with supported aircraft)
Swedline Express,  Sweden, inactive (with supported aircraft)
Swift Air,  USA, inactive (with supported aircraft)Renamed / Merged to iAero Airways
Swift AirCargo,  Singapore, inactive (with supported aircraft)
Swiftair,  Spain,  44 aircraft 
Swiftair Hellas,  Greece,  2 aircraft 
Swiss European Airlines,  Switzerland, inactive (with supported aircraft)Renamed / Merged to Swiss Global Air Lines
Swiss Global Air Lines,  Switzerland, inactive (with supported aircraft)Renamed / Merged to Swiss International Air Lines
Swiss International Air Lines,  Switzerland,  87 aircraft 
Swiss Sun,  Switzerland, inactive (with supported aircraft)Renamed / Merged to Swiss Airlines
Swiss World Airways,  Switzerland, inactive (with supported aircraft)
Swissair,  Switzerland, inactive (with supported aircraft)
Swoop,  Canada,  16 aircraft 
Syphax Airlines,  Tunisia,  1 aircraft 
Syrian Pearl Airways,  Syria, inactive (with supported aircraft)
Syrianair,  Syria,  4 aircraft 
TAAG Angola Airlines,  Angola,  14 aircraft 
TAB Cargo,  Bolivia,  1 aircraft 
TABA,  Brazil, inactive (with supported aircraft)
Taban Air,  Iran,  7 aircraft 
TAC Airlines,  Bangladesh, inactive (with supported aircraft)
TACA,  El Salvador, inactive (with supported aircraft)Renamed / Merged to Avianca El Salvador
TACA Peru,  Peru, inactive (with supported aircraft)Renamed / Merged to Avianca Peru
TACV Cabo Verde Airlines,  Cape Verde,  2 aircraft 
TAESA,  Mexico, inactive (with supported aircraft)
TAF Linhas Aereas,  Brazil, inactive (with supported aircraft)
Taftan Air,  Iran,  1 aircraft 
TAG Aviation,  USA, inactive (with supported aircraft)Renamed / Merged to Sentient Flight Group
TAG Aviation Asia,  China,  1 aircraft 
TAG Aviation UK,  United Kingdom,  1 aircraft 
TAG Transportes Aereos Guatemaltecos,  Guatemala,  10 aircraft 
Tahmid Air,  Qazakhstan, inactive (with supported aircraft)
Tailwind Airlines,  Turkey,  7 aircraft 
Taiwan Air Force,  Taiwan,  4 aircraft 
Tajik Air,  Tajikistan, inactive (with supported aircraft)
Tajikistan International Airlines,  Tajikistan, inactive (with supported aircraft)
Talair,  Papua New Guinea, inactive (with supported aircraft)
TAM,  Brazil, inactive (with supported aircraft)Renamed / Merged to LATAM Brasil
TAM - Transportes Aereos del Mercosur,  Paraguay, inactive (with supported aircraft)Renamed / Merged to TAM
TAM Madagascar,  Madagascar, inactive (with supported aircraft)
TAME,  Ecuador, inactive (with supported aircraft)
TAMPA,  Colombia, inactive (with supported aircraft)Renamed / Merged to Avianca Cargo
Tandem Aero,  Moldova, inactive (with supported aircraft)
Tango,  Canada, inactive (with supported aircraft)Renamed / Merged to Air Canada
TANS,  Peru, inactive (with supported aircraft)
Tanzania Government,  Tanzania,  1 aircraft 
TAP Air Portugal,  Portugal,  80 aircraft 
TAPSA,  Argentina, inactive (with supported aircraft)
Tarco Aviation,  Sudan,  5 aircraft 
Tarhan Tower Airlines,  Turkey, inactive (with supported aircraft)
TAROM,  Romania,  16 aircraft 
Taron Avia,  Armenia, inactive (with supported aircraft)
TAS Airways,  Italy, inactive (with supported aircraft)
Tashkent Air,  Uzbekistan, inactive (with supported aircraft)
Tasman Cargo Airlines,  Australia,  2 aircraft 
Tassili Airlines,  Algeria,  17 aircraft 
TAT European Airlines,  France, inactive (with supported aircraft)Renamed / Merged to Air Liberte
Tatarstan Air,  Russia, inactive (with supported aircraft)
Tatra Air,  Slovakia, inactive (with supported aircraft)
Tavaj,  Brazil, inactive (with supported aircraft)
Taxi Aereo de Caldas,  Colombia, inactive (with supported aircraft)
Tayaran Jet,  Bulgaria, inactive (with supported aircraft)
Tbilisi Airways,  Georgia,  1 aircraft 
Tchadia Airlines,  Chad, inactive (with supported aircraft)
TEA,  Belgium, inactive (with supported aircraft)
TEA Basel,  Switzerland, inactive (with supported aircraft)Renamed / Merged to TEA Switzerland
TEA Cyprus,  Cyprus, inactive (with supported aircraft)
TEA Europe,  France, inactive (with supported aircraft)
TEA France,  France, inactive (with supported aircraft)
TEA Italy,  Italy, inactive (with supported aircraft)
TEA Switzerland,  Switzerland, inactive (with supported aircraft)Renamed / Merged to EasyJet Switzerland
TEA UK,  United Kingdom, inactive (with supported aircraft)
Teamline Air,  Austria, inactive (with supported aircraft)
Ted,  USA, inactive (with supported aircraft)Renamed / Merged to United Airlines
Tehran Air,  Iran, inactive (with supported aircraft)
Teleport,  Malaysia, inactive (with supported aircraft)
Tempelhof Airways USA,  USA, inactive (with supported aircraft)
Ten Airways,  Romania, inactive (with supported aircraft)
Tend Air,  Romania, inactive (with supported aircraft)
Terra Avia,  Moldova,  5 aircraft 
Tesis Aviation Enterprise,  Russia, inactive (with supported aircraft)
Texel Air,  Bahrain,  3 aircraft 
Texel Air New Zealand,  New Zealand,  1 aircraft 
TezJet Air Company,  Kyrgyzstan,  3 aircraft 
Thai AirAsia,  Thailand,  49 aircraft 
Thai AirAsia X,  Thailand,  6 aircraft 
Thai Airways,  Thailand,  51 aircraft 
Thai Eastar Jet,  Thailand, inactive (with supported aircraft)
Thai Express Air,  Thailand, inactive (with supported aircraft)
Thai Lion Air,  Thailand,  15 aircraft 
Thai Sky Airlines,  Thailand, inactive (with supported aircraft)
Thai Smile,  Thailand,  16 aircraft 
Thai Star Airlines,  Thailand, inactive (with supported aircraft)
Thai Summer Airways,  Thailand, inactive (with supported aircraft)
Thai VietjetAir,  Thailand,  18 aircraft 
ThaiJet,  Thailand, inactive (with supported aircraft)
Thalair,  France,  2 aircraft 
The Cargo Airlines,  Georgia, inactive (with supported aircraft)
Thomas Cook (Condor),  Germany, inactive (with supported aircraft)Renamed / Merged to Condor
Thomas Cook Airlines,  Belgium, inactive (with supported aircraft)Renamed / Merged to VLM Airlines
Thomas Cook Airlines Balearics,  Spain, inactive (with supported aircraft)
Thomas Cook Airlines Scandinavia,  Denmark, inactive (with supported aircraft)Renamed / Merged to Sunclass Airlines
Thomas Cook UK,  United Kingdom, inactive (with supported aircraft)
Thomson Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to TUI Airways
THT Air Services,  Bangladesh, inactive (with supported aircraft)
THY Turkish Airlines,  Turkey,  339 aircraft 
Tian-Jin Airlines,  China, inactive (with supported aircraft)
Tianjin Air Cargo,  China,  6 aircraft 
Tianjin Airlines,  China,  91 aircraft 
Tianju Airlines,  China,  1 aircraft 
Tiara Air Aruba,  Aruba, inactive (with supported aircraft)
Tibet Airlines,  China,  38 aircraft 
TICV - Transportes Interilhas de Cabo Verde,  Cape Verde, inactive (with supported aircraft)
Tigerair,  Singapore, inactive (with supported aircraft)Renamed / Merged to Scoot
Tigerair Australia,  Australia, inactive (with supported aircraft)
Tigerair Philippines,  Philippines, inactive (with supported aircraft)Renamed / Merged to Cebgo
Tigerair Taiwan,  Taiwan,  15 aircraft 
Tigerair USA,  USA, inactive (with supported aircraft)
Tiko Air,  Madagascar,  1 aircraft 
Time Air,  Canada, inactive (with supported aircraft)Renamed / Merged to Canadian Regional Airlines
Time Air Sweden,  Sweden, inactive (with supported aircraft)
Titan Airways,  United Kingdom,  8 aircraft 
Titan Airways Malta,  Malta,  3 aircraft 
Titan Aviation,  United Arab Emirates,  1 aircraft 
TMA,  Lebanon, inactive (with supported aircraft)
TMK Air Commuter,"  Congo, Democratic Republic of", inactive (with supported aircraft)
TNT,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to TNT Airways
TNT Airways,  Belgium, inactive (with supported aircraft)Renamed / Merged to ASL Airlines Belgium
TNT European Airlines,  United Kingdom, inactive (with supported aircraft)
TOA Domestic,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Air System
Tobago Express,  Trinidad Tobago, inactive (with supported aircraft)Renamed / Merged to Caribbean Airlines
Toki Air,  Japan,  2 aircraft 
Toll Aviation,  Australia, inactive (with supported aircraft)
Tonle Sap Airlines,  Cambodia, inactive (with supported aircraft)Renamed / Merged to Wat Phnom Airlines
Toos Airline,  Iran, inactive (with supported aircraft)
Top Air,  Indonesia, inactive (with supported aircraft)
Top Fly,  Spain, inactive (with supported aircraft)
Topbrass Aviation,  Nigeria, inactive (with supported aircraft)
Tor Air,  Sweden, inactive (with supported aircraft)
Total Air,  USA, inactive (with supported aircraft)Renamed / Merged to Air America
Total Linhas Aereas,  Brazil,  2 aircraft 
